"","eidid","eid_name","data_quality","path_genus","path_species","path_common","path_subgroup","path_disease","event_location","map_type","no_map_objects","sourcenotes_original","sourcenotes_ceisin","transtype_zoo_t","transtype_zoo_pd","zoo_origin","zoo_origin_type","path_type","transmode_descrip","transmode_1_descrip","transmode_1_contact","transmode_2_code","transmode_3_code","transtype_human","path_acquisition","path_vector","event_date","event_year","event_decade","event_ref","event_type","drivers_ref","drivers","driver_1","driver_1_iom","driver_1_pd","driver_pd_reclass","driver_2","driver_3","path_reservoir","path_georange","path_hosteffect","eid_ref","notes","geo_data_qual_1","geo_data_qual_12","yr1","yr2","filename","wildlife_zoonoses"
"23",23,"HED_23",0,"Burkholderia","pseudomallei","Unspecified","Unspecified","Melioidosis","“Top End” of the Northern Territory, Australia","3",1,"traveljournals.net. ""Top End, Australia""","traveljournals.net. ""Top End, Australia""","yes",1,1,3,"bacteria","Acquired by ingestion, inhalation or contact of abraded, wounded or burned skin with contaminated water or soil","Direct contact of contaminated soil","direct contact","Ingestion of contaminated water","Inhalation of organism","rare","","None","1997",1997,"1990","unspecified","","Short 2002","troop deployment; rainy season","military","international travel and commerce","war and famine","war and famine","weather events","None","sheep, goats, horses, swine, monkey and rodents","Unspecified","Unspecified","Unspecified","",0,0,1,1,"HED_23.shp",TRUE
"24",24,"HED_24",1,"Burkholderia","pseudomallei","Unspecified","Unspecified","Melioidosis","Taiwan","3",1,"ESRICountry00. ""Taiwan""","Country name ""Taiwan""","yes",1,1,3,"bacteria","Acquired by ingestion, inhalation or contact of abraded, wounded or burned skin with contaminated water or soil","Direct contact of contaminated soil","direct contact","Ingestion of contaminated water","Inhalation of organism","rare","","None","1994",1994,"1990","Emerg Infect Dis. 2001 May-Jun;7(3):428-33.","","Emerg Infect Dis. 2001 May-Jun;7(3):428-33.","increasing incidence in Taiwan; first case reported travel history to Phillipines","travel","international travel and commerce","international travel and commerce","international travel and commerce","None","None","sheep, goats, horses, swine, monkey and rodents","Unspecified","Unspecified","Unspecified","",1,1,1,1,"HED_24.shp",TRUE
"25",25,"HED_25",1,"Campylobacter","fetus","Unspecified","Unspecified","Unspecified","Normandie","3",1,"ESRIAdmin00. ""Basse-Normandie, France""","ESRIAdmin00. ""Basse-Normandie, France""","yes",1,1,3,"bacteria","food-borne; contact with infected animals","ingestion of contaminated foods","indirect contact","contact with infected animals","None","","","None","sept. 1945",1945,"1940","Vinzent R, Dumas J, Picard N. Septicemie grave au cours de la grossesse due a un vibrion: avortment consecutif. Bull Acad Natl Med 1993;131: 90-3.","","Blaser MJ. Campylobacter fetus--emerging infection and model system for bacterial pathogenesis at mucosal surfaces. Clin Infect Dis. 1998 Aug;27(2):256-8.","the primary source was raw milk;Finally, C. fetus should be considered as one of the emerging pathogens of humans. First, the population at risk for systemic infections due to C. fetus is increasing. This phenomenon includes the aging of populations in developed countries, the increasing intensity of immunosuppressive therapies, and the growing burden of HIV infection worldwide. Second, changes in food consumption toward raw and undercooked meats, unpasteurized milk, and other uncooked foods is increasing the accidental exposure of humans to these animal pathogens. Finally, the use of raw foods as ‘‘alternative’’ therapies for seriously ill patients [10] brings together the vehicles and the most susceptible hosts. Improvements in the detection of C. fetus and related microaerophiles by clinical microbiologists will aid in our understanding of the true magnitude of this problem.","immunosuppression","human susceptibility to infection","human susceptibility to infection increase","human susceptibility to infection increase","changes in food consumption","None","These organisms have been found in a wide range of hosts, including cattle, sheep, other ungulates, swine, poultry, and reptiles","Unspecified","Unspecified","Taylor et al.","",1,1,1,0,"HED_25.shp",TRUE
"26",26,"HED_26",1,"Campylobacter","jejuni","Unspecified","fluoroquinolone-res","Unspecified","Zurich, Switzerland","1",1,"GGv2. ""Zurich, Switzerland""","GGv2. ""Zurich, Switzerland""","yes",1,1,3,"bacteria","food- or water-borne (by ingestion of the organisms in undercooked chicken or pork, contaminated food or water, or raw milk; contact with infected animals (pets, especially puppies and kittens, farm animals) or infants","ingestion of contaminated food","indirect contact","direct contact with animal or person","ingestion of contaminated water","uncommon","","None","28-Apr-86",1986,"1980","Adler-Mosca H, Lüthy-Hottenstein J, Martinetti Lucchini G, Burnens A, Altwegg M. Development of resistance to quinolones in five patients with campylobacteriosis treated with norfloxacin or ciprofloxacin. Eur J Clin Microbiol Infect Dis 1991;10:953-7. Endtz et al. 1991. Altwegg M, Burnens A, Zollinger-Iten J, Penner JL. Problems in identification of Campylobacter jejuni associated with acquisition of resistance to nalidixic acid. J Clin Microbiol. 1987 Sep;25(9):1807-8.","","Nachamkin 2002 EID; Jacobs-Reitsma, et al. 1994. Piddock, JAC, 1996; http://www.fao.org/DOCREP/ARTICLE/AGRIPPA/555_EN.HTM. Engberg J, Aarestrup FM, Taylor DE, Gerner-Smidt P, Nachamkin I. Quinolone and macrolide resistance in Campylobacter jejuni and C. coli: resistance mechanisms and trends in human isolates. Emerg Infect Dis 2001;7:24–34.","was due, in part, to acquisition of fluoroquinolone-resistant strains from animal sources; used extensively in broiler industry; grwoth promoter in food animals; mutations in the genes encoding subunits of DNA gyrase","farm animal antibiotic use","technology and industry","agricultural industry changes","agricultural industry changes","None","None","swine, cattle, sheep, cats, dogs, other pets and rodents; birds, most frequently poultry and cattle","Unspecified","Unspecified","Taylor et al.","",1,1,1,1,"HED_26.shp",TRUE
"27",27,"HED_27",1,"Campylobacter","jejuni","Unspecified","Unspecified","Camylobacteriosis, campylobacter enteritis","Boston, Minneapolis, and Los Angeles","1",3,"GGv2. ""Boston, Mass, Minneapolis, Los Angeles California""","GGv2. ""Boston, Mass, Minneapolis, Los Angeles California""","yes",1,1,3,"bacteria","food- or water-borne (by ingestion of the organisms in undercooked chicken or pork, contaminated food or water, or raw milk; contact with infected animals (pets, especially puppies and kittens, farm animals) or infants","ingestion of contaminated food","indirect contact","direct contact with animal or person","ingestion of contaminated water","uncommon","","None","1957",1957,"1950","KING EO. HUMAN INFECTIONS WITH VIBRIO-FETUS AND A CLOSELY RELATED VIBRIO. JOURNAL OF INFECTIOUS DISEASES 101 (2): 119-128 1957. Altekruse 1999 EID","","Lederberg, Shope, et al. (IOM.) Emerging Infections. 1992. Slutsker L - Infect Dis Clin North Am - 01-MAR-1998; 12(1): 199-216.","improved recognition of the orgnism; an increase in poultry consumption in recent years; use of unchlorinated drinking water in the production of food animals","increased recognition","technology and industry","medical industry changes","medical industry changes","poultry","None","swine, cattle, sheep, cats, dogs, other pets and rodents; birds, most frequently poultry and cattle","worldwide","Unspecified","Taylor et al.","Despite their widespread occurrence, Campylobacter species were not understood as a cause of diarrhea in humans until 1957 [King], and their impact in terms of sheer numbers of human infections emerged only in the past 20 years [starting with 1972 case presumably]. (Allos 2001)",1,1,1,0,"HED_27.shp",TRUE
"28",28,"HED_28",1,"Chlamydia","pneumoniae","Unspecified","Unspecified","TWAR strain","Taiwan","3",1,"ESRICountry00. ""Taiwan""","Country name ""Taiwan""","yes",0,0,0,"bacteria","not defined; possibilities include direct contact with secretions, spread via fomites, and airborne spread","Direct contact with secretions","direct contact","fomites","Airborne spread","y","","None","1965",1965,"1960","Grayston JT. NEJM 1986. 315(3):161-168.","","IOM 1992","increased recognition","increased recognition","technology and industry","medical industry changes","medical industry changes","None","None","presumably people (koalas, frogs?)","Unspecified","Unspecified","Unspecified","",1,1,1,0,"HED_28.shp",FALSE
"29",29,"HED_29",1,"Chlamydia","trachomatis","Unspecified","multiple-drug resistant","Genital chlamydia","Atlanta","1",1,"GGv2. ""Atlanta, USA, Georgia""","GGv2. ""Atlanta, USA, Georgia""","yes",0,0,0,"bacteria","Direct contact with discharges from infected persons, or materials soiled therewith; venereal transmission","sexual contact","direct contact","fomites","None","","","None","Apr-97",1997,"1990","Somani JID 2000","","Unspecified","antibiotic resistance","antibiotic-resistance","microbial adaptation and change","antimicrobial agent use","antimicrobial agent use","None","None","humans; experimental infection has been induced in nonhuman primates and mice, but animal infections are not known to occur in nature","worldwide; recognition has increased in the U.S., Canada, Europe, and Australia over the past 2 decades","Unspecified","Taylor et al.","",1,1,1,1,"HED_29.shp",FALSE
"30",30,"HED_30",0,"Clostridium","botulinum","Unspecified","Unspecified","food botulism","US (alaska, Washington, Oregon, California)","3",4,"ESRIAdmin00. ""Alaska, Washington, Oregon, California, US""","ESRIAdmin00. ""Alaska, Washington, Oregon, California, US""","yes",1,1,2,"bacteria","Ingestion of contaminated food containing toxin","ingestion of contaminated foods","indirect contact","None","None","","","None","1976",1976,"1970","AM J Epid 124:794-9. 1986.","","p. 140 Evans","large restaurant-associated outbreaks","restaurants","technology and industry","food industry changes","food industry changes","None","None","spores are ubiquitous in soil worldwide; they are frequently recovered from agricultural products, including honey.  Spores are also found in marine sedimentsand in the intestinal tract of animals including fish.","Unspecified","Unspecified","Taylor et al.","",0,0,1,0,"HED_30.shp",TRUE
"31",31,"HED_31",1,"Clostridium","botulinum","Unspecified","Unspecified","infant botulism","CA","3",1,"ESRIAdmin00. ""California, USA""","ESRIAdmin00. ""California, USA""","yes",1,1,2,"bacteria","Ingestion of contaminated food containing toxin","ingestion of contaminated foods","indirect contact","None","None","","","None","1976",1976,"1970","Lancet 2:2:934-6. 1976.","","p. 140 Evans","the risk factors are poorly described, but possible sources of spores include dust and honey","globalization/centralization of food supply","technology and industry","food industry changes","food industry changes","None","None","spores are ubiquitous in soil worldwide; they are frequently recovered from agricultural products, including honey.  Spores are also found in marine sedimentsand in the intestinal tract of animals including fish.","Unspecified","Unspecified","Taylor et al.","",0,1,1,0,"HED_31.shp",TRUE
"32",32,"HED_32",1,"Clostridium","difficile","Unspecified","Unspecified","Unspecified","St. Louis, MO, USA","1",1,"GGv2. ""Saint Louis, US, Missouri""","GGv2. ""Saint Louis, US, Missouri""","yes",1,1,1,"bacteria","Fecal-oral contact; evidence for transmission via fomites and hands exists","fomites and hand","indirect contact","None","None","","nosocomial","None","Nov. 1973",1973,"1970","Tedesco FJ, Barton RW, Alpers DH. Clindamycin-associated colitis. A prospective study. Ann Intern Med. 1974 Oct;81(4):429-33.  Bartlett JG, Chang TW, Gurwith M, Gorbach SL, Onderdonk AB. Antibiotic-associated pseudomembranous colitis due to toxin-producing clostridia. N Engl J Med 1978;298:531-4. Gerding DN, Johnson S, Peterson LR, Mulligan ME, Silva J Jr. Clostridium difficile-associated diarrhea and colitis. Infect Control Hosp Epidemiol 1995;16:459-77.","","Lederberg, Shope, et al. (IOM.) Emerging Infections. 1992.","immunosuppression; increased recognition","immunosuppression","human susceptibility to infection","human susceptibility to infection increase","human susceptibility to infection increase","None","None","dogs, cats, lamb, swine, horses","worldwide","Unspecified","Taylor et al.","",1,1,1,0,"HED_32.shp",FALSE
"33",33,"HED_33",1,"Clostridium","difficile","Unspecified","clindamycin-resistance","Unspecified","Albany, NY","1",1,"GGv2. ""Albany, United States, New York""","GGv2. ""Albany, United States, New York""","yes",0,0,0,"bacteria","Fecal-oral contact; evidence for transmission via fomites and hands exists","fomites and hand","indirect contact","None","None","","nosocomial","None","1989",1989,"1980","Nelson DE, Auerbach SB, Baltch AL, et al. Epidemic Clostridium difficile- associated diarrhea: role of second- and third-generation cephalosporins. Infect Control Hosp Epidemiol 1994;15:88-94.","","Unspecified","antibiotic resistance","antibiotic-resistance","microbial adaptation and change","antimicrobial agent use","antimicrobial agent use","None","None","dogs, cats, lamb, swine, horses","Unspecified","Unspecified","Taylor et al.","",1,1,1,1,"HED_33.shp",FALSE
"34",34,"HED_34",1,"Corynebacterium","diphtheriae","Unspecified","Unspecified","Unspecified","Smolensk, Russia","1",1,"GGv2. ""Smolensk, Russia""","GGv2. ""Smolensk, Russia""","no",0,0,0,"bacteria","close contact with person who has diphtheria or who carries the pathogen","close contact with carrier","direct contact","None","None","","","None","1985",1985,"1980","unspecified","","http://www.cdc.gov/ncidod/eid/vol6no6/reacher.htm","new strain (mitis) circulation; Clusters of cases of sore throat associated with isolation of nontoxigenic Corynbacterium diphtheriae were detected in gay men attending a genitourinary medicine (GUM) clinic, military recruits, and children from a religious community in England and Wales in the late 1980s to mid-1990s; breakdown of public health measures","change in virulence","unknown","breakdown of public health measures","breakdown of public health measures","breakdown of public health measures","None","None","Unspecified","Unspecified","Taylor et al.","",1,1,1,1,"HED_34.shp",FALSE
